,date,user,is_retweet,is_quote,text,quoted_text,lat,long,hts,mentions,                    tweet_id,likes,retweets,replies,quote_count,original_tweet_id
69071,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
79821,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
90571,2020-11-02 16:01:59,A2Zsalesnet,False,False,"Along with wearing masks and ensuring frequent hand washing, new research suggests that effective indoor #ventilation is just as important in preventing the spread of highly contagious coronavirus disease 2019 (COVID-19).  #HVAC #Filtration #IAQ https://t.co/FX1FJjbZsQ",,,,,,1323294291012296704,0,0,0,0,
7600,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
18350,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
29100,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
39850,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
50600,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
61350,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
72100,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
82850,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
93600,2020-11-02 16:30:51,ALBERTOSEVERIN7,True,False,RT @BenjaminNorton: Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…,,,,,,1323301557178388481,0,0,0,0,1.323299247605928e+18
508,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
6658,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
11258,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
17408,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
22008,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
28158,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
32758,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
38908,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
43508,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
49658,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
54258,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
60408,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
65008,2020-11-02 15:07:12,ANI,False,False,"On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,,1323280505144422402,0,0,0,0,
71158,2020-11-02 16:20:44,ANI,False,True,"All our passengers to Wuhan, China had boarded the flight from Delhi with COVID19 negative reports from certified labs. AI strictly adheres to all the safety protocol laid down by the regulatory bodies and conforms to requirements at destination airports: Air India statement","On 30th October, 19 passengers on Air India’s Vande Bharat flight to Wuhan tested positive for #COVID19 at Wuhan Airport, China. The airline is aware of the incident. All passengers boarded the flight after thorough checks of their COVID negative certificate: Air India Official",,,,,1323299009402789889,0,0,0,0,
